c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
8.0,14.0,11.0,2.0,5.0,0.17620195695987345,240.0,1.0,18.0,0.0,0.0,0.0,6.0,4.0,0.490828496944295,92.0,9.0,6.0,4.0,2.0,0
8.0,10.0,11.0,2.0,5.0,0.28569218819333386,2476.0,1.0,18.0,0.0,0.2036352267946164,0.0,1.0,2.0,0.5429427773667601,262.0,12.0,6.0,1.0,9.0,0
8.0,18.0,27.0,1.0,4.0,0.8006656071567314,2006.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,3.420805794801031,211.0,11.0,1.0,1.0,4.0,0
9.0,20.0,21.0,2.0,5.0,0.1834834167100745,1665.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.524993077566817,212.0,11.0,2.0,3.0,3.0,0
9.0,18.0,15.0,0.0,5.0,0.6286900631596075,759.0,1.0,18.0,0.0,0.0,0.0,5.0,0.0,2.6138980749685525,180.0,9.0,13.0,1.0,5.0,0
9.0,12.0,10.0,1.0,5.0,0.07558054663601392,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.018713819936264465,14.0,13.0,13.0,1.0,3.0,0
9.0,12.0,10.0,1.0,5.0,0.22325718622349278,206.0,1.0,18.0,0.0,0.12218113607676984,0.0,3.0,0.0,0.43464355981001335,126.0,9.0,13.0,1.0,3.0,0
9.0,12.0,10.0,1.0,5.0,0.15908090849655362,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.4104966953761237,14.0,8.0,13.0,1.0,3.0,0
9.0,19.0,10.0,1.0,5.0,0.09675819905787789,1601.0,1.0,3.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.02575665539614894,14.0,9.0,13.0,1.0,3.0,0
9.0,11.0,20.0,1.0,5.0,0.08484406789381782,1730.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0621781759172658,210.0,11.0,1.0,1.0,3.0,0
9.0,22.0,20.0,1.0,5.0,0.2610487007882554,2447.0,1.0,18.0,0.0,0.08145409071784657,0.0,3.0,0.0,0.7042835459884476,86.0,11.0,7.0,1.0,3.0,0
9.0,12.0,41.0,2.0,5.0,0.6684303351307115,487.0,0.0,18.0,0.0,0.28508931751246297,0.0,5.0,2.0,2.1541015313732372,262.0,11.0,7.0,3.0,7.0,0
9.0,14.0,11.0,2.0,5.0,0.4281719049359489,240.0,1.0,18.0,0.0,0.5294515896660027,0.0,3.0,2.0,0.4728760951636719,173.0,11.0,2.0,1.0,2.0,0
9.0,12.0,10.0,1.0,5.0,0.11271204838857916,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,2.0,0.1006119351412068,126.0,9.0,13.0,1.0,3.0,0
9.0,12.0,10.0,1.0,5.0,0.14483416839699512,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.2513286139827346,14.0,9.0,13.0,1.0,3.0,0
9.0,12.0,10.0,1.0,5.0,0.10842337964699515,1747.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.08048954811296544,14.0,4.0,13.0,1.0,3.0,0
9.0,16.0,20.0,1.0,5.0,0.20261088413356548,1159.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.6147389237127735,49.0,9.0,13.0,1.0,3.0,0
